year,country,Public_Debt (%GDP),Energy_Import_Dependency,Tertiary_education_attainment,Inflation_Rate,Unemployment_Variation,Worldwide_Governance_Indicators,Productivity_Variation,GDP_Growth,missing_count
2003,KWT,,0.0,,,,52.4727963,,,108
2003,LBY,,0.0,,,,24.3076072,,,132
2003,LKA,,42.5901168548228,,,,53.4258786,,,108
2003,LTU,19.388,43.7080018139091,32.649318,-1.134309,12.441,70.0826805,16.704381994118997,10.551897513,0
2003,LUX,17.207,100.0,23.2432808,2.04984,3.675,83.0203366,79.41490299633547,2.619250804,0
2003,LVA,14.003,66.6421817699818,17.920399,2.942643,11.641,68.3918298,13.289370316037914,8.429132571,0
2003,MAR,,91.4162517780941,,,,44.540188699999995,,,138
2003,MDA,,98.156413463725,,,,48.1961559,,,132
2003,MDG,,11.9312680215483,,,,54.552394799999995,,,36
2003,MEX,41.202,0.0,15.5543,4.546898,2.964,62.790209,86.45978871436353,1.185544877,0
2003,MKD,,39.1179643487045,,,36.025,52.428693499999994,,,115
2003,MLT,,100.0,,,7.565,78.10292129999999,,,120
2003,MMR,,0.0,,,,18.0914722,,,132
2003,MNG,,21.5573762506454,,,,61.934073,,,132
2003,MOZ,,5.28359937530337,,,,53.5039327,,,132
2003,MYS,,0.0,,,,48.9585485,,,132
2003,NAM,,70.7403977775988,,,,59.9503479,,,132
2003,NGA,,0.0,,,,41.465484499999995,,,132
2003,NIC,,51.5293434260922,,,,57.095872199999995,,,132
2003,NLD,50.366,46.5188750957607,27.545015,2.091998,4.829,86.1603094,53.784374337025426,0.098171277,0
2003,NOR,55.846,0.0,32.692787,2.487826,4.045,85.92353399999999,375.2365206185568,1.096372723,0
2003,NPL,,10.9825099353551,,,,47.0908387,,,132
2003,NZL,25.729,26.1116462365394,35.628941,1.753576,4.745,84.0280284,43.449067255410924,4.424887233,0
2003,OMN,,0.0,,,,44.5603796,,,132
2003,PAK,,20.7973571927409,,,,35.911736399999995,,,132
2003,PAN,,100.0,,,,65.426959,,,132
2003,PER,,25.6638768244264,32.44971085,,5.19,60.512251299999996,,,96
2003,PHL,,47.5216491851143,,,,55.457282199999995,,,132
2003,POL,51.475,13.3597151479885,14.17064,0.8416666,19.644,74.01904979999999,32.84902836658843,3.52341631,0
2003,PRT,80.161,89.5751312882081,10.958982,3.218991,6.263,81.9153625,25.696056363551175,-0.930520921,0
