year,country,Inflation_Rate,Unemployment_Variation,Gov_score,Productivity_Variation,GDP_Growth
2017,CAN,1.596884,6.438,85.4404198,62.471735041938224,3.033834915
2017,CHE,0.5337878,4.797,85.9950561,82.03215417915276,1.420346127
2017,CHL,2.182719,6.964,76.2718809,5694.595000970912,1.357695373
2017,CHN,1.6,2.876,32.687888199999996,,6.9
2017,CMR,,,37.5741648,,
2017,COL,4.314313,9.669,57.2127136,9651.898915259208,1.359360868
2017,CRI,1.625907,9.071,77.44045559999999,4030.220712135566,4.157698963
2017,CUB,,,32.066423799999995,,
2017,CYP,,11.052,75.08253429999999,,
2017,CZE,2.450534,2.893,71.3494407,314.93655329201925,5.1735653
2017,DEU,1.509497,3.746,83.5118415,66.3159542254151,2.8055961
2017,DNK,1.147132,5.71,86.5174407,314.625141323989,3.056479648
2017,DOM,,,56.387579699999996,,
2017,DZA,,,43.0234808,,
2017,ECU,,,51.140582099999996,,
2017,ESP,1.956076,17.224,75.6211296,47.358834190129926,2.896042079
2017,EST,3.417236,5.74,79.54069129999999,32.66687949813185,5.634672413
2017,ETH,,,32.8756777,,
2017,FIN,0.754015,8.587,88.2802004,64.37466987232388,3.303370161
2017,FRA,1.032283,9.401,77.2017812,66.71482298141098,2.083610545
2017,GAB,,,39.623258199999995,,
2017,GBR,2.6,4.375,81.7675715,55.66118370033933,3.023222179
2017,GEO,,,60.0790909,,
2017,GHA,,,64.7557157,,
2017,GNQ,,,27.103045299999998,,
2017,GRC,1.121259,21.488,68.4514591,28.759454892058628,1.47312467
2017,GTM,,,52.700482699999995,,
2017,HND,,,44.4167594,,
2017,HRV,1.15,11.078,64.8291527,29.211517368708975,
2017,HUN,2.348243,4.042,62.693540999999996,2716.585967095361,4.124184475
2017,IDN,3.808798,5.41,57.9365325,,5.069785901
2017,IND,2.490887,7.8835,61.3202362,,6.09917
2017,IRL,0.3621731,6.582,81.33022629999999,92.45548349886604,10.108857592
2017,IRQ,,,37.5392824,,
2017,ISL,1.760413,3.284,83.1207484,4776.491817117681,3.485066958
2017,ISR,0.2498078,4.215,65.7818079,105.0991709388219,4.417333468
2017,ITA,1.226533,11.211,74.1498302,53.033045932511676,1.603767865
2017,JAM,,,67.4206955,,
2017,JOR,,,46.719805199999996,,
2017,JPN,0.4841998,2.813,77.8115906,2463.9572844081913,1.623468549
2017,KAZ,,,40.9828603,,
2017,KEN,,,49.699469099999995,,
2017,KGZ,,,51.890938299999995,,
2017,KWT,,,49.528989599999996,,
2017,LBN,,,46.0819602,,
2017,LBY,,,35.2786101,,
2017,LTU,3.722889,7.073,72.3034401,31.963723734639004,4.612243509
2017,LUX,1.7308,5.522,85.3027154,100.84304886468236,1.317117264
2017,LVA,2.930369,8.715,69.6048153,29.06103499517545,3.398945018
2017,MAR,,,45.9613418,,
2017,MDA,,,54.9146893,,
2017,MDG,,,45.0151957,,
