Country,shock_id,baseline_year,profile_code,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels,layer,is_pareto_frontier,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_score_normalized,embedded_separation_score_normalized,recovery_years,recovery_status,target_flag
NZL,2019,2019,5-4-3-3-4,19.0,5,4,3,3,4,86.35401056117124,92.06643462469734,28.25954467037914,53.832715868724144,22.840569260034176,baseline_5_variables,5,2,False,0.2727272727272727,0.0303030303030303,0.696969696969697,0.2301536491677336,0.0112035851472471,0.7586427656850192,0.3926421404682274,0.0977355977355977,0.0,no_negative_growth_in_shock_window,False
POL,2019,2019,4-5-2-2-3,16.0,4,5,2,2,3,79.21928817451206,95.37681598062952,24.41487904805224,37.519264700462045,18.712590897678595,baseline_5_variables,5,1,True,0.0909090909090909,0.0,0.9090909090909092,0.0765044814340589,0.0304097311139564,0.8930857874519846,0.0334448160535117,0.0083250083250083,1.0,recovered,False
PRT,2019,2019,1-2-3-2-1,9.0,1,2,3,2,1,38.51894374282434,82.64981840193705,26.544367548649976,24.52017759818624,7.398281928082919,baseline_5_variables,5,3,False,0.0606060606060606,0.4848484848484848,0.4545454545454545,0.0035211267605633,0.3838028169014084,0.6126760563380281,0.0026755852842809,0.0006660006660006,2.0,recovered,False
ROU,2019,2019,4-4-1-1-5,15.0,4,4,1,1,5,84.95981630309988,92.82309322033898,3.857956731537156,6.134073406177688,23.2781103467362,baseline_5_variables,5,2,False,0.0606060606060606,0.0303030303030303,0.9090909090909092,0.0252880921895006,0.0316901408450704,0.9430217669654288,0.0066889632107023,0.0016650016650016,,,False
SVK,2019,2019,3-2-1-2-3,11.0,3,2,1,2,3,77.61194029850746,85.85805084745763,12.355061647969832,23.108830516661,11.77511808391389,baseline_5_variables,5,4,False,0.0,0.2727272727272727,0.7272727272727273,0.0112035851472471,0.2301536491677336,0.7586427656850192,0.0,0.0,1.0,recovered,False
SVN,2019,2019,2-3-4-3-3,15.0,2,3,4,3,3,67.27898966704937,90.83308111380146,42.932603292166014,40.45413332556315,16.66366192322806,baseline_5_variables,5,2,False,0.1818181818181818,0.0606060606060606,0.7575757575757576,0.0688220230473751,0.0688220230473751,0.8623559539052497,0.1053511705685618,0.0262237762237762,1.0,recovered,False
SWE,2019,2019,4-2-5-4-4,19.0,4,2,5,4,4,84.50057405281287,82.01044188861985,76.31854943926389,65.18051809903986,22.78898045599404,baseline_5_variables,5,1,True,0.303030303030303,0.0,0.696969696969697,0.2045454545454545,0.0099231754161331,0.7855313700384123,0.4565217391304347,0.1136363636363636,1.0,recovered,False
TUR,2019,2019,5-1-2-1-2,11.0,5,1,2,1,2,85.95862545518266,55.67493946731234,24.05710619748545,14.235789751453732,10.9739338024312,baseline_5_variables,5,3,False,0.0,0.1212121212121212,0.8787878787878788,0.0060819462227912,0.1277208706786171,0.8661971830985915,0.0,0.0,0.0,no_negative_growth_in_shock_window,False
USA,2019,2019,1-5-5-5-5,21.0,1,5,5,5,5,47.19874493174339,93.74243341404356,69.79533248807502,75.29026170293265,32.46930200745625,baseline_5_variables,5,1,True,0.1818181818181818,0.0,0.8181818181818182,0.1997439180537772,0.0012804097311139,0.7989756722151088,0.3809364548494983,0.0948218448218448,1.0,recovered,True
ZAF,2019,2019,3-1-1-1-5,11.0,3,1,1,1,5,68.08881852175062,0.0,7.200551492704578,0.0,36.1103793762552,baseline_5_variables,5,3,False,0.0303030303030303,0.0909090909090909,0.8787878787878788,0.0044814340588988,0.1197183098591549,0.8758002560819462,0.0006688963210702,0.0001665001665001,2.0,recovered,False
