year,country,Governance score (0-100)
2007,NZL,85.1221545
2007,PER,60.8589406
2007,POL,73.2909043
2007,PRT,82.8141888
2007,ROU,65.17883139999999
2007,RUS,47.528484899999995
2007,SAU,30.149234399999997
2007,SGP,57.697494
2007,SVK,73.8679421
2007,SVN,75.41404539999999
2007,SWE,87.4523834
2007,TUR,56.0252275
2007,USA,79.4662882
2007,ZAF,68.3389898
2008,ARG,63.9973872
2008,AUS,84.71497839999999
2008,AUT,84.4884506
2008,BEL,83.54485299999999
2008,BGR,67.6713486
2008,BRA,67.97174559999999
2008,CAN,83.8454687
2008,CHE,85.6389698
2008,CHL,78.6226332
2008,CHN,30.7391068
2008,COL,54.8009984
2008,CRI,74.8268964
2008,CYP,78.58220949999999
2008,CZE,74.5857577
2008,DEU,83.9182301
2008,DNK,88.26664819999999
2008,ESP,80.8441804
2008,EST,75.0821965
2008,FIN,86.44385319999999
2008,FRA,81.3966482
2008,GBR,81.22653629999999
2008,GRC,76.0836679
2008,HRV,66.9306905
2008,HUN,73.8407222
2008,IDN,57.8240038
2008,IND,65.7238344
2008,IRL,84.30893809999999
2008,ISL,85.6307838
2008,ISR,68.9280098
2008,ITA,77.0465866
2008,JPN,76.56783399999999
2008,LTU,71.8479641
2008,LUX,85.2315713
2008,LVA,69.60013169999999
2008,MEX,61.5166544
2008,MKD,60.6065057
2008,MLT,79.8134098
2008,NLD,87.16859629999999
2008,NOR,87.3900675
2008,NZL,85.5604886
2008,PER,61.9897029
2008,POL,75.61254989999999
2008,PRT,82.1410081
2008,ROU,65.85525539999999
2008,RUS,48.7433134
2008,SAU,29.714239799999998
2008,SGP,58.406929399999996
2008,SVK,73.8851313
2008,SVN,74.4610454
2008,SWE,87.7678255
2008,TUR,56.9109427
2008,USA,80.0566752
2008,ZAF,67.4589297
2009,ARG,63.6438036
2009,AUS,84.7351745
2009,AUT,85.0154996
2009,BEL,83.8311622
2009,BGR,67.2370261
2009,BRA,66.8952358
2009,CAN,83.008876
2009,CHE,85.9102776
2009,CHL,79.1641147
2009,CHN,30.877800099999998
2009,COL,54.4023529
2009,CRI,75.397033
2009,CYP,77.9688505
2009,CZE,74.36661769999999
2009,DEU,84.68822229999999
2009,DNK,88.6536615
2009,ESP,80.0373752
2009,EST,75.7035961
2009,FIN,86.1463617
2009,FRA,81.21449109999999
2009,GBR,81.4342803
2009,GRC,76.9488685
2009,HRV,67.5780043
2009,HUN,73.8941748
2009,IDN,57.6313994
2009,IND,65.00044079999999
2009,IRL,82.223359
2009,ISL,84.6745284
2009,ISR,68.68192309999999
2009,ITA,76.7924085
2009,JPN,78.7385942
2009,LTU,73.5035893
2009,LUX,85.8902215
2009,LVA,71.7291537
2009,MEX,62.9155373
2009,MKD,60.2634237
2009,MLT,78.7654938
2009,NLD,86.5765728
2009,NOR,87.5216897
2009,NZL,86.37981339999999
2009,PER,60.8493667
2009,POL,75.48576709999999
2009,PRT,81.8520455
2009,ROU,65.23847289999999
2009,RUS,46.825544699999995
2009,SAU,27.756542699999997
2009,SGP,59.214760299999995
2009,SVK,73.3629725
2009,SVN,74.7553235
2009,SWE,87.3415629
2009,TUR,57.799628
2009,USA,79.621229
2009,ZAF,67.8078243
2010,ARG,64.62032169999999
2010,AUS,85.4783984
2010,AUT,84.9981686
2010,BEL,83.5093737
2010,BGR,66.0110153
2010,BRA,67.8789001
2010,CAN,81.5556496
2010,CHE,85.83103679999999
2010,CHL,78.8908939
2010,CHN,30.6803562
2010,COL,54.2907413
2010,CRI,76.43697139999999
2010,CYP,76.9320923
2010,CZE,73.6576147
2010,DEU,83.2910931
2010,DNK,87.54104749999999
2010,ESP,79.0214764
2010,EST,76.4265679
2010,FIN,85.965876
2010,FRA,80.19580069999999
2010,GBR,80.864212
2010,GRC,74.5182943
2010,HRV,67.1178027
2010,HUN,73.456287
2010,IDN,56.4908182
2010,IND,63.7706914
2010,IRL,80.91351829999999
2010,ISL,83.9650632
2010,ISR,67.5895297
2010,ITA,74.8425122
2010,JPN,78.88021739999999
2010,LTU,73.4595547
2010,LUX,85.6812645
2010,LVA,71.7355018
2010,MEX,62.151951
2010,MKD,55.4600266
2010,MLT,78.4349943
2010,NLD,85.6804332
2010,NOR,87.70109029999999
2010,NZL,86.5467819
2010,PER,61.4878523
2010,POL,76.3993603
2010,PRT,80.72860969999999
2010,ROU,64.6131527
2010,RUS,46.7738266
2010,SAU,28.295817099999997
2010,SGP,58.930411299999996
2010,SVK,72.657631
2010,SVN,74.6717824
2010,SWE,87.0468595
2010,TUR,56.373670499999996
2010,USA,79.4944427
2010,ZAF,67.786298
2011,ARG,62.8378088
2011,AUS,85.64427649999999
2011,AUT,83.94705139999999
2011,BEL,81.623764
2011,BGR,62.5451269
2011,BRA,66.0820054
2011,CAN,81.7956507
2011,CHE,85.91955039999999
2011,CHL,76.9876767
2011,CHN,32.885900899999996
2011,COL,56.693190699999995
2011,CRI,76.2810102
2011,CYP,77.0213673
2011,CZE,72.95077839999999
2011,DEU,83.4341725
2011,DNK,87.5483828
2011,ESP,77.2266435
2011,EST,77.7366747
2011,FIN,86.4919991
2011,FRA,78.2503115
2011,GBR,81.801514
2011,GRC,73.2601226
2011,HRV,65.7283851
2011,HUN,72.3519027
2011,IDN,57.900298899999996
2011,IND,63.303864999999995
2011,IRL,80.6915394
2011,ISL,83.0701382
2011,ISR,66.2922925
2011,ITA,71.650431
2011,JPN,79.6122572
2011,LTU,72.33500409999999
2011,LUX,85.90295449999999
2011,LVA,70.1645607
2011,MEX,59.4919647
2011,MKD,52.730537899999995
2011,MLT,77.2271073
2011,NLD,87.12172989999999
2011,NOR,88.54480819999999
2011,NZL,88.52700999999999
2011,PER,62.2785587
2011,POL,75.5104929
2011,PRT,79.95861049999999
2011,ROU,62.5012044
2011,RUS,46.217284199999995
2011,SAU,27.322218399999997
2011,SGP,60.4773181
2011,SVK,73.6976866
2011,SVN,74.64636349999999
2011,SWE,89.75552019999999
2011,TUR,53.466156999999995
2011,USA,78.4079845
2011,ZAF,66.5998497
2012,ARG,62.296034999999996
2012,AUS,86.72621559999999
