Country,shock_id,baseline_year,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,debt_capacity_level_3,employment_strength_level_3,rd_intensity_level_3,human_capital_tertiary_level_3,energy_security_level_3,profile_code_3levels,profile_digit_sum_3levels,levels,debt_capacity_level_4,employment_strength_level_4,rd_intensity_level_4,human_capital_tertiary_level_4,energy_security_level_4,profile_code_4levels,profile_digit_sum_4levels,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,profile_code_5levels,profile_digit_sum_5levels
SWE,2019,2019,84.50057405281287,82.01044188861985,76.31854943926389,65.18051809903986,22.78898045599404,3.0,1.0,3.0,3.0,3.0,3-1-3-3-3,13.0,3,,,,,,,,,,,,,,
TUR,2019,2019,85.95862545518266,55.67493946731234,24.05710619748545,14.235789751453732,10.9739338024312,3.0,1.0,2.0,1.0,1.0,3-1-2-1-1,8.0,3,,,,,,,,,,,,,,
USA,2019,2019,47.19874493174339,93.74243341404356,69.79533248807502,75.29026170293265,32.46930200745625,1.0,3.0,3.0,3.0,3.0,1-3-3-3-3,13.0,3,,,,,,,,,,,,,,
ZAF,2019,2019,68.08881852175062,0.0,7.200551492704578,0.0,36.1103793762552,2.0,1.0,1.0,1.0,3.0,2-1-1-1-3,8.0,3,,,,,,,,,,,,,,
AUS,2019,2019,70.73261383439076,88.08641041162227,36.31892606143274,72.49028470317627,100.0,,,,,,,,4,2.0,2.0,3.0,4.0,4.0,2-2-3-4-4,15.0,,,,,,,
AUT,2019,2019,64.40872560275545,90.65148305084746,69.82192665670692,41.588964679838746,10.303772082724375,,,,,,,,4,2.0,3.0,4.0,2.0,2.0,2-3-4-2-2,13.0,,,,,,,
BEL,2019,2019,49.08151549942594,87.34866828087166,70.00715941122002,57.54448788543463,5.46515980316359,,,,,,,,4,1.0,2.0,4.0,3.0,1.0,1-2-4-3-1,11.0,,,,,,,
BGR,2019,2019,93.62801377726753,91.94158595641646,12.749112297042558,28.496841117990552,20.64124573945459,,,,,,,,4,4.0,3.0,1.0,2.0,3.0,4-3-1-2-3,13.0,,,,,,,
CAN,2019,2019,74.53368272594955,86.11153147699758,35.47368736362677,100.0,54.48646227604982,,,,,,,,4,3.0,2.0,3.0,4.0,4.0,3-2-3-4-4,16.0,,,,,,,
CHE,2019,2019,94.285729158055,91.00332929782084,68.37586413849523,66.20312909766103,15.912588479882489,,,,,,,,4,4.0,3.0,4.0,4.0,2.0,4-3-4-4-2,17.0,,,,,,,
COL,2019,2019,63.43060931281159,66.4497578692494,0.0,18.71941503554236,85.55347454172669,,,,,,,,4,1.0,1.0,1.0,1.0,4.0,1-1-1-1-4,8.0,,,,,,,
CZE,2019,2019,88.17451205510908,100.0,38.93005528739562,19.46745072163916,20.143056681479017,,,,,,,,4,4.0,4.0,3.0,1.0,3.0,4-4-3-1-3,15.0,,,,,,,
DEU,2019,2019,71.46957520091848,95.75514527845036,68.99058338263042,32.62676583229808,11.642461682241064,,,,,,,,4,2.0,4.0,4.0,2.0,2.0,2-4-4-2-2,14.0,,,,,,,
DNK,2019,2019,83.18025258323765,89.7510593220339,63.93351198500172,56.81279284261066,19.33427082234978,,,,,,,,4,3.0,3.0,4.0,3.0,3.0,3-3-4-3-3,16.0,,,,,,,
ESP,2019,2019,49.08151549942594,54.25998789346247,22.76382925945436,52.74810418787415,7.822474809952926,,,,,,,,4,1.0,1.0,2.0,3.0,1.0,1-1-2-3-1,8.0,,,,,,,
EST,2019,2019,100.0,90.9011803874092,31.395058301039747,59.15988352457292,30.70006381249264,,,,,,,,4,4.0,3.0,3.0,3.0,4.0,4-3-3-3-4,17.0,,,,,,,
FIN,2019,2019,67.68082663605051,82.47578692493947,61.68909567901926,69.72411216524709,19.14721488130329,,,,,,,,4,2.0,1.0,4.0,4.0,3.0,2-1-4-4-3,14.0,,,,,,,
