,profile_a,profile_b,relationship
565,31333,33324,incomparable
566,31333,33434,incomparable
567,31333,34201,incomparable
568,31333,34224,incomparable
569,31333,40441,incomparable
570,31333,41000,incomparable
571,31333,42243,incomparable
572,31333,42334,incomparable
573,31333,43000,incomparable
574,31333,44232,incomparable
575,31334,33324,incomparable
576,31334,33434,incomparable
577,31334,34201,incomparable
578,31334,34224,incomparable
579,31334,40441,incomparable
580,31334,41000,incomparable
581,31334,42243,incomparable
582,31334,42334,incomparable
583,31334,43000,incomparable
584,31334,44232,incomparable
585,33324,33434,incomparable
586,33324,34201,incomparable
587,33324,34224,incomparable
588,33324,40441,incomparable
589,33324,41000,incomparable
590,33324,42243,incomparable
591,33324,42334,incomparable
592,33324,43000,incomparable
593,33324,44232,incomparable
594,33434,34201,incomparable
595,33434,34224,incomparable
596,33434,40441,incomparable
597,33434,41000,incomparable
598,33434,42243,incomparable
599,33434,42334,incomparable
600,33434,43000,incomparable
601,33434,44232,incomparable
602,34201,34224,incomparable
603,34201,40441,incomparable
604,34201,41000,incomparable
605,34201,42243,incomparable
606,34201,42334,incomparable
607,34201,43000,incomparable
608,34201,44232,incomparable
609,34224,40441,incomparable
610,34224,41000,incomparable
611,34224,42243,incomparable
612,34224,42334,incomparable
613,34224,43000,incomparable
614,34224,44232,incomparable
615,40441,41000,incomparable
616,40441,42243,incomparable
617,40441,42334,incomparable
618,40441,43000,incomparable
619,40441,44232,incomparable
620,41000,42243,42243 dominates 41000
621,41000,42334,42334 dominates 41000
622,41000,43000,incomparable
623,41000,44232,incomparable
624,42243,42334,incomparable
625,42243,43000,incomparable
626,42243,44232,incomparable
627,42334,43000,incomparable
628,42334,44232,incomparable
629,43000,44232,44232 dominates 43000
