shock_id,baseline_year,Country,profile_code,layer,is_pareto_frontier,observed_dominance_score_normalized,observed_dominated_by_score_normalized,observed_incomparability_score_normalized,embedded_dominance_score_normalized,embedded_dominated_by_score_normalized,embedded_incomparability_score_normalized,observed_separation_score_normalized,embedded_separation_score_normalized,score_role,profile_digit_sum,debt_capacity_level_5,employment_strength_level_5,rd_intensity_level_5,human_capital_tertiary_level_5,energy_security_level_5,debt_capacity_score_0_100,employment_strength_score_0_100,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,energy_security_score_0_100,main_variable_set,levels
2019,2019,CZE,5-5-4-1-4,1,True,0.09090909090909091,0.0,0.9090909090909091,0.12772087067861715,0.006081946222791294,0.8661971830985915,0.11404682274247492,0.028388278388278388,diagnostic_poset_score_not_index,19.0,5,5,4,1,4,88.17451205510908,100.0,38.93005528739562,19.46745072163916,20.143056681479017,baseline_5_variables,5
2019,2019,DEU,3-5-5-2-2,1,True,0.12121212121212122,0.0,0.8787878787878788,0.09571062740076824,0.015044814340588988,0.8892445582586428,0.12642140468227425,0.03146853146853147,diagnostic_poset_score_not_index,17.0,3,5,5,2,2,71.46957520091848,95.75514527845036,68.99058338263042,32.62676583229808,11.642461682241064,baseline_5_variables,5
2019,2019,DNK,4-3-4-3-4,1,True,0.2727272727272727,0.0,0.7272727272727273,0.18405889884763124,0.022727272727272728,0.793213828425096,0.34448160535117056,0.08574758574758574,diagnostic_poset_score_not_index,18.0,4,3,4,3,4,83.18025258323765,89.7510593220339,63.93351198500172,56.81279284261066,19.33427082234978,baseline_5_variables,5
2019,2019,ESP,2-1-2-3-1,3,False,0.030303030303030304,0.3939393939393939,0.5757575757575758,0.0035211267605633804,0.38380281690140844,0.6126760563380281,0.0013377926421404682,0.000333000333000333,diagnostic_poset_score_not_index,9.0,2,1,2,3,1,49.08151549942594,54.25998789346247,22.76382925945436,52.74810418787415,7.822474809952926,baseline_5_variables,5
2019,2019,EST,5-4-3-4-5,1,True,0.42424242424242425,0.0,0.5757575757575758,0.38380281690140844,0.0035211267605633804,0.6126760563380281,0.9250836120401338,0.23026973026973027,diagnostic_poset_score_not_index,21.0,5,4,3,4,5,100.0,90.9011803874092,31.395058301039747,59.15988352457292,30.70006381249264,baseline_5_variables,5
2019,2019,FIN,2-2-4-4-4,2,False,0.18181818181818182,0.030303030303030304,0.7878787878787878,0.08162612035851473,0.040653008962868116,0.8777208706786171,0.13645484949832776,0.03396603396603397,diagnostic_poset_score_not_index,16.0,2,2,4,4,4,67.68082663605051,82.47578692493947,61.68909567901926,69.72411216524709,19.14721488130329,baseline_5_variables,5
2019,2019,FRA,1-1-4-3-3,3,False,0.06060606060606061,0.21212121212121213,0.7272727272727273,0.01120358514724712,0.1437259923175416,0.8450704225352113,0.012040133779264214,0.002997002997002997,diagnostic_poset_score_not_index,12.0,1,1,4,3,3,48.79448909299655,75.67720944309927,46.38236732624888,51.146451516585664,17.587817154788816,baseline_5_variables,5
2019,2019,GBR,1-5-4-5-4,2,False,0.12121212121212122,0.030303030303030304,0.8484848484848485,0.12772087067861715,0.006081946222791294,0.8661971830985915,0.2,0.049783549783549784,diagnostic_poset_score_not_index,19.0,1,5,4,5,4,13.907824411124569,92.97820823244552,57.55191953717922,73.57330806734069,21.460990190868166,baseline_5_variables,5
2019,2019,GRC,1-1-2-2-1,4,False,0.0,0.6666666666666666,0.3333333333333333,0.0009603072983354673,0.6398847631241997,0.3591549295774648,0.0,0.0,diagnostic_poset_score_not_index,7.0,1,1,2,2,1,0.0,42.12696731234868,23.265835619162388,37.23172433222257,6.474180945360969,baseline_5_variables,5
2019,2019,HRV,2-2-2-1-3,3,False,0.0,0.30303030303030304,0.696969696969697,0.00736235595390525,0.30697823303457106,0.6856594110115237,0.0,0.0,diagnostic_poset_score_not_index,10.0,2,2,2,1,3,64.46613088404133,82.85411622276028,18.685613976028822,21.70648555061525,15.208864633434748,baseline_5_variables,5
