Country,Year,Value,Series_Code
CHL,2022,32.1704483907669,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CHL,2023,31.7782800207876,CHL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2002,11.7448421499918,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2003,11.7675888197585,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2004,12.4508441821041,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2005,12.6736372214658,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2006,13.4891062053789,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2007,14.0548099933746,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2008,14.0710429902643,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2009,13.7035508241171,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2010,13.7671648597739,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2011,14.2403583405245,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2012,14.4043008955106,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2013,14.9289398877448,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2014,15.3232829479372,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2015,15.4680942233427,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2016,15.7613275748437,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2017,15.9316718317433,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2018,16.165067739838,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2019,16.6736545604948,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2020,19.9319541361203,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2021,18.6637219113769,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2022,18.5840712808274,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2023,18.3335989479836,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
COL,2024,18.7288212937425,COL.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2002,16.0546034341917,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2003,16.2808591079434,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2004,16.6885389369657,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2005,16.3981451493533,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2006,17.0450030770111,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2007,17.2769464706741,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2008,17.82123733162,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2009,18.3263950377354,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2010,20.4673639154978,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2011,21.4499388302775,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2012,21.1509134656114,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2013,22.2574659276679,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2014,22.823358390264,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2015,23.557258184406,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2016,24.5901451176519,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2017,25.1696380328806,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2018,25.6352438352203,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2019,26.3433205308806,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2020,30.35580123461,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2021,28.7568280336958,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2022,27.4307440551618,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CRI,2023,29.3119425892157,CRI.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CZE,2002,35.4499422979012,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CZE,2003,37.1829747148092,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CZE,2004,38.7088461450626,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CZE,2005,40.6368926852906,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CZE,2006,43.0764071567815,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CZE,2007,44.8732072090013,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CZE,2008,44.6959382920229,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CZE,2009,43.5761520357214,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CZE,2010,44.7374497086952,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CZE,2011,45.6080774101195,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
CZE,2012,45.7910675728372,CZE.A.GDPHRS._T.USD_PPP_H.Q._Z._Z._Z
